"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"AT3G18090",36.4516482971974,-2.25251920550195,0.405343441581571,-5.55706340458615,2.74351123176843e-08,1.10411677261422e-06,"NRPD2B"
"AT3G55950",884.535045275244,2.787631947101,0.383285338846649,7.27299394098745,3.51606098806268e-13,2.00512129007399e-10,"ATCRR3"
"AT3G58990",170.886397764039,-2.90644910291596,0.733657250464026,-3.96158983105214,7.44523605004778e-05,0.000617734036722539,"IPMI"
"AT3G47540",519.626637034406,3.08507295476459,0.58340397802633,5.28805608285611,1.23623079348612e-07,3.56958188082901e-06,NA
"AT3G23240",31.798786082199,2.94189554409579,0.902767777495368,3.25875116218455,0.00111903773565121,0.00549471123172402,"AtERF#092"
"AT3G03820",101.199381309366,-3.21665334890691,0.597763647380185,-5.38114581407637,7.40132105439488e-08,2.38940467559795e-06,"SAUR29"
"AT3G22160",589.065605888102,2.00571854817506,0.481122738100807,4.16882925985263,3.06168228651517e-05,0.000302317422917167,"JAV1"
"AT3G47340",15379.1304535941,-3.32163205444061,0.924541547701102,-3.59273421805644,0.000327226304911632,0.00201189332411702,"ASN1"
"AT3G48100",303.633179093638,2.02167354025916,0.367530287249237,5.5006991543208,3.78288196320366e-08,1.41014409297408e-06,"ARR5"
"AT3G13380",851.670606456902,2.8895950469841,0.4589919644663,6.29552425900097,3.06362641011036e-10,3.19078999879132e-08,"BRL3"
"AT3G09830",3659.64570874241,2.00143190992389,0.302077395522587,6.62556000412233,3.45934171802795e-11,5.83738331153507e-09,"PBL39"
"AT3G23800",5.9955591967413,-6.48943981574326,1.61825545459865,-4.01014549174052,6.068134520371e-05,0.000523162046876911,"SBP3"
"AT3G12580",677.130388987958,2.62107511348581,0.72276937590553,3.62643354970867,0.000287362724929964,0.00181360530965239,"ATHSP70"
"AT3G16240",21925.0186768406,-3.41687954223554,0.489381360989496,-6.98203857892513,2.90927207502344e-12,9.13599591317211e-10,"AQP1"
"AT3G18250",141.187007759174,2.95716196858859,0.943820107483692,3.1331839035223,0.00172921060656557,0.00779800240027808,NA
"AT3G50770",907.306693835761,2.33690284837554,0.550273600713603,4.24680167346753,2.16843745620903e-05,0.000232383840317417,"CML41"
"AT3G25670",25.289049616997,-2.98262551449627,0.647935946286632,-4.60327217773596,4.15904115095088e-06,6.14399764038546e-05,NA
"AT3G09960",29.5917594674911,4.43082370632313,1.33101046654072,3.32891725324954,0.000871843027699162,0.00447937991871414,NA
"AT3G50850",14.3156139948142,2.33904414717415,0.600540433793221,3.89489868717071,9.82397826850361e-05,0.000776551386701014,NA
"AT3G07540",235.724807337727,-2.20639054990393,0.53434782300613,-4.12912798538456,3.64141672465521e-05,0.000347637047605729,"FH10"
"AT3G57240",513.7034502423,4.27066588636877,0.723246242647886,5.90485734254682,3.52952034967752e-09,2.19020475351546e-07,"AtBG3"
"AT3G13850",11.0938407706695,4.28028436995494,1.05212919131123,4.06821177979159,4.73753139013719e-05,0.000433510267514275,"LBD22"
"AT3G29250",155.480680316126,4.17790668578422,0.902954558396616,4.626929059645,3.71127563284892e-06,5.63515741878584e-05,"AtSDR4"
"AT3G25780",2089.51593330496,3.09759867535995,0.548127730907188,5.65123510579044,1.59299030571841e-08,7.24042041147365e-07,"AOC3"
"AT3G24715",58.591856450812,-2.47853765317971,0.587408138289078,-4.21944724906069,2.44902014600116e-05,0.000254628591378314,"HCR1"
"AT3G19010",8045.75852308905,2.70393705414057,0.416252129449704,6.49591164305932,8.25320876481754e-11,1.13282122423582e-08,NA
"AT3G16690",39.4216690960037,-2.29900913589566,0.685680927593042,-3.35288476517191,0.000799739959874306,0.00416991456813959,"AtSWEET16"
"AT3G48640",241.477412366671,3.51601411112181,0.68209846660356,5.15470167911305,2.54035022356768e-07,6.42089008947119e-06,NA
"AT3G54150",970.662914680761,2.6695968670047,0.514889268665393,5.18479803225336,2.16249080046682e-07,5.7314302212884e-06,"EFD"
"AT3G01830",864.330745533432,5.15639301580366,0.779366963575119,6.61612982945827,3.68724567470531e-11,6.06522649634462e-09,NA
"AT3G02840",646.338761598805,4.43736813112098,0.632623464150242,7.01423260846226,2.31214454748152e-12,7.85598490018067e-10,NA
"AT3G01513",22.3109869654466,2.60494263172471,0.685346649055125,3.80091248029898,0.000144164218928569,0.00104950741184177,NA
"AT3G15518",12.6165679853388,2.70184038940786,0.875439310885512,3.08626806657213,0.00202686002084845,0.0088794548281769,NA
"AT3G48080",688.129227995458,2.65565680924736,0.455597968604908,5.8289478712543,5.57779223955276e-09,3.14342850702764e-07,NA
"AT3G13950",311.899083826614,4.63124701629817,0.919223388133081,5.03821712554999,4.69888227693184e-07,1.05857645730097e-05,NA
"AT3G07010",1262.56292764996,-2.58926829963339,0.538609144330145,-4.8073233194984,1.52964499947476e-06,2.74488504407912e-05,NA
"AT3G23120",674.531010829567,3.07990976832786,0.516893553466753,5.95849909071455,2.54565064409103e-09,1.70197274998164e-07,"AtRLP38"
"AT3G28650",42.4175271650589,-2.15853576154156,0.440939456105056,-4.89531098125926,9.81503920617006e-07,1.91872824304743e-05,NA
"AT3G07195",2140.07700159593,2.4067562065469,0.445545227829369,5.40182243287009,6.59672341304601e-08,2.19941745742168e-06,"NOI11"
"AT3G04300",51.7464361082668,2.08037976883049,0.580518375621532,3.58365877153007,0.000338814654175327,0.00206780698540572,NA
"AT3G23230",54.2613296418032,2.55894538143997,0.742156918754514,3.44798426959946,0.000564786929482264,0.00313827718510708,"AtERF98"
"AT3G62280",7.55285712725357,2.7878648594167,0.912572930294984,3.05495020383251,0.00225097892584173,0.00968523753726296,NA
"AT3G46690",304.299034630418,2.64918360125939,0.70421944573492,3.76187226482323,0.000168646176458085,0.00118446305383222,NA
"AT3G26960",96.062658675487,-2.33709376176319,0.403827042260943,-5.78736319558564,7.1499875224675e-09,3.83571946641493e-07,NA
"AT3G11820",7281.0441182342,2.1093924325594,0.291490262169383,7.23657942073431,4.60142255499818e-13,2.21788567150912e-10,"AT-SYR1"
"AT3G60966",159.237560961059,3.95055158715324,0.937175089703116,4.21538262226402,2.49355059614076e-05,0.000257633747036957,"ATL91"
"AT3G24420",881.595692291586,2.69887496597853,0.34360243649851,7.85464443582381,4.00907834173833e-15,5.53947718072458e-12,"DLK2"
"AT3G24900",139.328767209448,2.87268151969742,0.624344507038509,4.60111603019234,4.2023324173011e-06,6.19911328690267e-05,"AtRLP39"
"AT3G13520",2041.18181122104,-2.31312953854642,0.454219531468467,-5.09253649015973,3.53304688434508e-07,8.39746900515323e-06,"AGP12"
"AT3G06990",23.1388899321506,-4.47272748796211,1.27615202026748,-3.50485476410924,0.00045685643576778,0.00264532775332893,NA
"AT3G21150",182.740114994041,3.60747398443399,0.554420786215732,6.50674374793422,7.67972483784935e-11,1.09020532184429e-08,"AtBBX32"
"AT3G56710",1270.69802227145,3.11591140181068,0.535583667835716,5.81778644296983,5.96320186102381e-09,3.29582191390878e-07,"SIB1"
"AT3G13437",198.486334336719,2.08238098589728,0.437513305639961,4.75958321507806,1.93993132028821e-06,3.32015000365759e-05,"AtEWR1"
"AT3G06890",101.883630130814,2.24095375376063,0.546150201525569,4.10318214202054,4.07506180209094e-05,0.000382516897237939,NA
"AT3G47210",12.7456367683402,4.76038554384085,1.43716756647163,3.3123385573806,0.000925195077321862,0.00470220528998845,NA
"AT3G22235",12832.1219732473,2.50290284041966,0.722099023863327,3.46614904286782,0.000527970517188657,0.00297356438566633,"AthCYSTM8"
"AT3G47480",1763.14781676072,3.07441655398603,0.714662050524018,4.30191662161402,1.69327032748617e-05,0.000191010885183365,"CML47"
"AT3G09405",264.780116226456,2.03820405194984,0.497806171455434,4.09437280777526,4.23312717115558e-05,0.00039485055692786,"AtPAE4"
"AT3G45940",19.297608550406,-2.28160958753852,0.743868027761042,-3.06722362353159,0.00216057155147135,0.00935254928483608,NA
"AT3G12610",840.033431872182,-2.85349973483386,0.60463063717419,-4.71940976754008,2.36529934453906e-06,3.90623061473439e-05,"DRT100"
"AT3G17640",45.1882145474674,-2.33095936809119,0.553743761767994,-4.20945485805365,2.55987579631734e-05,0.000263174532512268,NA
"AT3G10930",516.968527742638,3.8026688174213,0.536631435028628,7.08618349429797,1.37860994251244e-12,5.01281924008996e-10,"IDL7"
